date,demand_MW,temp_c,wind_ms,precip_mm,sunshine_h,global_rad,pressure_hpa,humidity_pct,cloudiness,nao,price_eur_kwh,gdp_mln_eur,population,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday
2012-03-21,12770.208333333334,9.3,1.8,0.0,11.1,1526,1035.4,77,1.0,1.27,0.11733333333333333,167040.5164835165,16743.032967032967,415.1666666666667,15.916666666666666,2,3,0,0
2012-03-22,12685.916666666666,12.3,3.5,0.0,10.9,1587,1031.2,76,0.0,1.27,0.11733333333333333,167107.56043956045,16743.120879120877,415.1666666666667,15.916666666666666,3,3,0,0
2012-03-23,12443.916666666666,12.1,2.4,0.0,11.3,1594,1027.3,75,0.0,1.27,0.11733333333333333,167174.6043956044,16743.20879120879,415.1666666666667,15.916666666666666,4,3,0,0
2012-03-24,10795.666666666666,11.1,2.7,0.0,10.6,1474,1028.3,79,2.0,1.27,0.11733333333333333,167241.64835164836,16743.296703296703,415.1666666666667,15.916666666666666,5,3,1,0
2012-03-25,10005.541666666666,9.5,3.0,0.0,8.7,1606,1033.4,76,3.0,1.27,0.11733333333333333,167308.6923076923,16743.384615384617,415.1666666666667,15.916666666666666,6,3,1,0
2012-03-26,12308.791666666666,9.8,2.8,0.0,11.5,1712,1036.3,72,0.0,1.27,0.11733333333333333,167375.73626373627,16743.472527472528,415.1666666666667,15.916666666666666,0,3,0,0
2012-03-27,12466.041666666666,10.0,2.3,0.0,10.3,1583,1035.4,76,1.0,1.27,0.11733333333333333,167442.78021978022,16743.56043956044,415.1666666666667,15.916666666666666,1,3,0,0
2012-03-28,12481.875,10.4,2.1,0.0,10.9,1717,1030.8,73,2.0,1.27,0.11733333333333333,167509.82417582418,16743.648351648353,415.1666666666667,15.916666666666666,2,3,0,0
2012-03-29,12621.5,8.8,3.7,0.0,3.4,795,1024.7,82,7.0,1.27,0.11733333333333333,167576.86813186813,16743.736263736264,415.1666666666667,15.916666666666666,3,3,0,0
2012-03-30,12697.083333333334,8.6,4.1,0.0,0.0,375,1020.5,85,8.0,1.27,0.11733333333333333,167643.9120879121,16743.824175824175,415.1666666666667,15.916666666666666,4,3,0,0
2012-03-31,10972.791666666666,6.8,4.4,0.0,2.7,791,1016.6,76,6.0,1.27,0.11733333333333333,167710.95604395604,16743.91208791209,415.1666666666667,15.916666666666666,5,3,1,0
2012-04-01,10182.416666666666,4.9,2.8,0.0,7.7,1268,1018.1,77,3.0,0.47,0.11733333333333333,167778.0,16744.0,415.1666666666667,15.916666666666666,6,4,1,0
2012-04-02,12336.5,8.1,1.8,0.0,3.2,1048,1010.0,79,6.0,0.47,0.11733333333333333,167692.13186813187,16744.186813186814,415.1666666666667,15.916666666666666,0,4,0,0
2012-04-03,12460.791666666666,9.0,1.9,0.7,4.4,1240,1003.1,71,7.0,0.47,0.11733333333333333,167606.26373626373,16744.373626373625,415.1666666666667,15.916666666666666,1,4,0,0
2012-04-04,12701.875,7.5,3.0,0.0,0.0,381,1009.1,89,7.0,0.47,0.11733333333333333,167520.3956043956,16744.56043956044,415.1666666666667,15.916666666666666,2,4,0,0
2012-04-05,12613.666666666666,5.9,4.1,0.0,3.4,1131,1018.0,75,6.0,0.47,0.11733333333333333,167434.52747252746,16744.747252747253,415.1666666666667,15.916666666666666,3,4,0,0
2012-04-06,12206.708333333334,6.0,2.4,0.4,9.4,1748,1012.6,68,4.0,0.47,0.11733333333333333,167348.65934065933,16744.934065934067,415.1666666666667,15.916666666666666,4,4,0,1
2012-04-07,11006.541666666666,5.3,3.2,0.3,1.9,887,1010.1,70,8.0,0.47,0.11733333333333333,167262.7912087912,16745.120879120877,415.1666666666667,15.916666666666666,5,4,1,0
2012-04-08,10001.25,6.2,3.2,0.6,6.0,1570,1012.3,73,6.0,0.47,0.11733333333333333,167176.92307692306,16745.30769230769,415.1666666666667,15.916666666666666,6,4,1,1
2012-04-09,10457.291666666666,9.0,5.2,9.2,0.0,415,998.7,93,8.0,0.47,0.11733333333333333,167091.05494505496,16745.494505494506,415.1666666666667,15.916666666666666,0,4,0,1
2012-04-10,12583.333333333334,9.5,4.6,4.1,0.0,639,992.4,89,8.0,0.47,0.11733333333333333,167005.18681318683,16745.68131868132,415.1666666666667,15.916666666666666,1,4,0,0
2012-04-11,12575.041666666666,7.9,3.4,0.2,4.2,1306,998.3,83,7.0,0.47,0.11733333333333333,166919.3186813187,16745.86813186813,415.1666666666667,15.916666666666666,2,4,0,0
2012-04-12,12543.5,7.1,1.9,1.7,2.6,1009,1002.4,84,7.0,0.47,0.11733333333333333,166833.45054945056,16746.054945054944,415.1666666666667,15.916666666666666,3,4,0,0
2012-04-13,12498.708333333334,7.3,1.8,3.5,1.0,880,1005.1,85,7.0,0.47,0.11733333333333333,166747.58241758242,16746.24175824176,415.1666666666667,15.916666666666666,4,4,0,0
2012-04-14,10930.708333333334,7.6,2.8,0.0,10.1,1784,1006.6,75,4.0,0.47,0.11733333333333333,166661.7142857143,16746.428571428572,415.1666666666667,15.916666666666666,5,4,1,0
2012-04-15,10301.25,6.6,4.5,0.2,2.1,968,1015.6,71,6.0,0.47,0.11733333333333333,166575.84615384616,16746.615384615383,415.1666666666667,15.916666666666666,6,4,1,0
2012-04-16,12399.916666666666,5.0,3.1,0.0,9.0,1663,1021.7,69,2.0,0.47,0.11733333333333333,166489.97802197802,16746.802197802197,415.1666666666667,15.916666666666666,0,4,0,0
2012-04-17,12765.625,4.9,5.3,2.3,1.3,1002,1005.9,79,7.0,0.47,0.11733333333333333,166404.1098901099,16746.98901098901,415.1666666666667,15.916666666666666,1,4,0,0
2012-04-18,12730.208333333334,8.4,5.5,2.4,4.4,1236,990.8,78,7.0,0.47,0.11733333333333333,166318.24175824175,16747.175824175825,415.1666666666667,15.916666666666666,2,4,0,0
2012-04-19,12748.416666666666,8.9,4.7,0.4,4.0,1057,988.9,75,6.0,0.47,0.11733333333333333,166232.37362637362,16747.362637362636,415.1666666666667,15.916666666666666,3,4,0,0
2012-04-20,12601.333333333334,8.2,3.5,1.4,4.6,1028,994.9,81,6.0,0.47,0.11733333333333333,166146.5054945055,16747.54945054945,415.1666666666667,15.916666666666666,4,4,0,0
2012-04-21,11142.208333333334,7.8,3.8,3.1,3.0,1099,997.8,83,7.0,0.47,0.11733333333333333,166060.63736263735,16747.736263736264,415.1666666666667,15.916666666666666,5,4,1,0
2012-04-22,10366.333333333334,8.8,4.4,0.8,4.9,1379,1003.0,79,6.0,0.47,0.11733333333333333,165974.76923076922,16747.923076923078,415.1666666666667,15.916666666666666,6,4,1,0
2012-04-23,12531.458333333334,9.4,4.5,2.2,3.0,1273,998.8,76,8.0,0.47,0.11733333333333333,165888.9010989011,16748.10989010989,415.1666666666667,15.916666666666666,0,4,0,0
2012-04-24,12649.708333333334,9.7,3.0,0.4,5.6,1597,995.6,80,7.0,0.47,0.11733333333333333,165803.03296703298,16748.296703296703,415.1666666666667,15.916666666666666,1,4,0,0
2012-04-25,12720.916666666666,10.0,5.4,1.2,4.0,1061,996.9,82,7.0,0.47,0.11733333333333333,165717.16483516485,16748.483516483517,415.1666666666667,15.916666666666666,2,4,0,0
2012-04-26,12744.833333333334,11.4,6.1,7.1,2.9,944,1001.9,77,7.0,0.47,0.11733333333333333,165631.2967032967,16748.67032967033,415.1666666666667,15.916666666666666,3,4,0,0
2012-04-27,12483.5,12.3,4.3,0.0,6.2,1419,1014.1,76,7.0,0.47,0.11733333333333333,165545.42857142858,16748.85714285714,415.1666666666667,15.916666666666666,4,4,0,0
2012-04-28,11236.708333333334,10.5,5.0,5.3,0.0,426,1012.8,91,8.0,0.47,0.11733333333333333,165459.56043956045,16749.043956043955,415.1666666666667,15.916666666666666,5,4,1,0
2012-04-29,10208.958333333334,12.5,3.2,0.0,3.7,1006,1007.8,84,6.0,0.47,0.11733333333333333,165373.6923076923,16749.23076923077,415.1666666666667,15.916666666666666,6,4,1,0
2012-04-30,10098.083333333334,15.8,3.5,0.0,8.7,2097,1015.8,66,4.0,0.47,0.11733333333333333,165287.82417582418,16749.417582417584,415.1666666666667,15.916666666666666,0,4,0,1
2012-05-01,12355.666666666666,14.9,3.1,3.5,2.2,1156,1017.1,81,6.0,-0.91,0.11733333333333333,165201.95604395604,16749.604395604394,415.1666666666667,15.916666666666666,1,5,0,0
2012-05-02,12519.416666666666,14.3,2.5,1.6,3.0,1450,1015.0,86,7.0,-0.91,0.11733333333333333,165116.0879120879,16749.79120879121,415.1666666666667,15.916666666666666,2,5,0,0
2012-05-03,12605.5,12.5,3.0,0.0,0.1,540,1010.3,88,8.0,-0.91,0.11733333333333333,165030.21978021978,16749.978021978022,415.1666666666667,15.916666666666666,3,5,0,0
2012-05-04,12325.208333333334,9.9,3.1,0.1,0.4,550,1005.0,85,8.0,-0.91,0.11733333333333333,164944.35164835164,16750.164835164836,415.1666666666667,15.916666666666666,4,5,0,0
2012-05-05,10905.75,8.6,3.5,0.2,0.0,754,1008.1,76,8.0,-0.91,0.11733333333333333,164858.4835164835,16750.351648351647,415.1666666666667,15.916666666666666,5,5,1,0
2012-05-06,10175.458333333334,8.1,3.8,0.0,5.4,1745,1013.0,69,8.0,-0.91,0.11733333333333333,164772.61538461538,16750.53846153846,415.1666666666667,15.916666666666666,6,5,1,0
2012-05-07,12262.5,9.9,3.0,0.0,9.1,2224,1017.2,68,5.0,-0.91,0.11733333333333333,164686.74725274724,16750.725274725275,415.1666666666667,15.916666666666666,0,5,0,0
2012-05-08,12512.166666666666,13.6,3.2,9.7,0.1,773,1010.1,82,8.0,-0.91,0.11733333333333333,164600.8791208791,16750.91208791209,415.1666666666667,15.916666666666666,1,5,0,0
2012-05-09,12583.458333333334,15.7,3.1,12.3,2.4,973,1011.4,88,8.0,-0.91,0.11733333333333333,164515.01098901097,16751.0989010989,415.1666666666667,15.916666666666666,2,5,0,0
2012-05-10,12825.833333333334,18.3,5.2,10.1,0.8,753,1013.4,87,8.0,-0.91,0.11733333333333333,164429.14285714287,16751.285714285714,415.1666666666667,15.916666666666666,3,5,0,0
2012-05-11,12435.0,13.8,5.3,0.0,3.7,1313,1021.3,77,6.0,-0.91,0.11733333333333333,164343.27472527474,16751.472527472528,415.1666666666667,15.916666666666666,4,5,0,0
2012-05-12,10733.333333333334,8.7,2.9,0.2,8.4,1980,1034.5,73,4.0,-0.91,0.11733333333333333,164257.4065934066,16751.659340659342,415.1666666666667,15.916666666666666,5,5,1,0
2012-05-13,10005.333333333334,8.8,1.7,0.0,9.5,2016,1030.1,73,3.0,-0.91,0.11733333333333333,164171.53846153847,16751.846153846152,415.1666666666667,15.916666666666666,6,5,1,0
2012-05-14,12155.458333333334,11.1,3.7,0.0,12.1,2499,1016.4,69,3.0,-0.91,0.11733333333333333,164085.67032967033,16752.032967032967,415.1666666666667,15.916666666666666,0,5,0,0
2012-05-15,12421.583333333334,8.9,3.2,4.9,2.6,906,1010.7,83,7.0,-0.91,0.11733333333333333,163999.8021978022,16752.21978021978,415.1666666666667,15.916666666666666,1,5,0,0
2012-05-16,12303.75,8.2,4.0,0.9,11.0,2151,1022.7,70,4.0,-0.91,0.11733333333333333,163913.93406593407,16752.406593406595,415.1666666666667,15.916666666666666,2,5,0,0
2012-05-17,10274.875,10.4,3.0,0.0,10.0,2234,1018.9,64,4.0,-0.91,0.11733333333333333,163828.06593406593,16752.593406593405,415.1666666666667,15.916666666666666,3,5,0,1
2012-05-18,11285.208333333334,13.4,3.5,1.5,2.5,1321,1007.9,74,7.0,-0.91,0.11733333333333333,163742.1978021978,16752.78021978022,415.1666666666667,15.916666666666666,4,5,0,0
2012-05-19,10500.333333333334,15.4,2.8,0.0,7.9,1968,1010.6,74,5.0,-0.91,0.11733333333333333,163656.32967032967,16752.967032967033,415.1666666666667,15.916666666666666,5,5,1,0
2012-05-20,10043.041666666666,16.4,2.5,5.0,4.4,1494,1007.0,88,7.0,-0.91,0.11733333333333333,163570.46153846153,16753.153846153848,415.1666666666667,15.916666666666666,6,5,1,0
2012-05-21,12370.458333333334,19.0,3.2,0.0,6.3,2023,1002.5,80,5.0,-0.91,0.11733333333333333,163484.5934065934,16753.340659340658,415.1666666666667,15.916666666666666,0,5,0,0
2012-05-22,12821.541666666666,21.4,2.6,0.0,12.4,2464,1008.8,74,2.0,-0.91,0.11733333333333333,163398.72527472526,16753.527472527472,415.1666666666667,15.916666666666666,1,5,0,0
2012-05-23,12944.541666666666,20.3,1.7,22.5,9.0,2254,1020.7,82,3.0,-0.91,0.11733333333333333,163312.85714285713,16753.714285714286,415.1666666666667,15.916666666666666,2,5,0,0
2012-05-24,13046.541666666666,22.4,3.0,1.0,13.0,2631,1025.5,65,2.0,-0.91,0.11733333333333333,163226.98901098903,16753.9010989011,415.1666666666667,15.916666666666666,3,5,0,0
2012-05-25,12638.791666666666,20.8,6.2,0.0,14.8,2873,1025.5,50,0.0,-0.91,0.11733333333333333,163141.1208791209,16754.08791208791,415.1666666666667,15.916666666666666,4,5,0,0
2012-05-26,10866.375,20.2,4.2,0.0,14.7,2879,1022.0,50,0.0,-0.91,0.11733333333333333,163055.25274725276,16754.274725274725,415.1666666666667,15.916666666666666,5,5,1,0
2012-05-27,9864.458333333334,20.5,3.0,0.0,14.5,2798,1019.2,61,0.0,-0.91,0.11733333333333333,162969.38461538462,16754.46153846154,415.1666666666667,15.916666666666666,6,5,1,1
2012-05-28,10238.875,18.3,3.0,0.0,14.5,2869,1016.0,74,1.0,-0.91,0.11733333333333333,162883.5164835165,16754.648351648353,415.1666666666667,15.916666666666666,0,5,0,1
2012-05-29,12369.75,13.6,2.0,0.0,3.7,1245,1016.4,84,5.0,-0.91,0.11733333333333333,162797.64835164836,16754.835164835164,415.1666666666667,15.916666666666666,1,5,0,0
2012-05-30,12457.083333333334,16.2,1.7,0.0,10.5,2235,1018.1,73,3.0,-0.91,0.11733333333333333,162711.78021978022,16755.021978021978,415.1666666666667,15.916666666666666,2,5,0,0
2012-05-31,12680.208333333334,14.4,3.0,10.9,0.0,651,1016.0,93,8.0,-0.91,0.11733333333333333,162625.9120879121,16755.20879120879,415.1666666666667,15.916666666666666,3,5,0,0
2012-06-01,12295.541666666666,12.7,2.6,0.1,3.9,1380,1018.5,78,6.0,-2.53,0.11733333333333333,162540.04395604396,16755.395604395606,415.1666666666667,15.916666666666666,4,6,0,0
2012-06-02,10556.166666666666,11.8,2.4,0.0,13.5,2623,1016.7,67,3.0,-2.53,0.11733333333333333,162454.17582417582,16755.582417582416,415.1666666666667,15.916666666666666,5,6,1,0
2012-06-03,10179.875,9.1,2.6,8.6,0.0,444,1009.9,89,8.0,-2.53,0.11733333333333333,162368.3076923077,16755.76923076923,415.1666666666667,15.916666666666666,6,6,1,0
2012-06-04,12405.5,9.1,2.6,9.0,1.3,725,1012.3,87,7.0,-2.53,0.11733333333333333,162282.43956043955,16755.956043956045,415.1666666666667,15.916666666666666,0,6,0,0
2012-06-05,12269.708333333334,11.0,2.1,0.0,5.9,1720,1016.4,70,6.0,-2.53,0.11733333333333333,162196.57142857142,16756.14285714286,415.1666666666667,15.916666666666666,1,6,0,0
2012-06-06,12499.625,13.9,3.5,8.1,5.5,1231,1005.2,85,7.0,-2.53,0.11733333333333333,162110.7032967033,16756.32967032967,415.1666666666667,15.916666666666666,2,6,0,0
2012-06-07,12522.5,16.2,3.3,1.7,1.7,1406,1002.2,82,6.0,-2.53,0.11733333333333333,162024.83516483515,16756.516483516483,415.1666666666667,15.916666666666666,3,6,0,0
2012-06-08,12363.208333333334,15.2,6.6,0.5,10.1,2031,1004.2,68,4.0,-2.53,0.11733333333333333,161938.96703296702,16756.703296703297,415.1666666666667,15.916666666666666,4,6,0,0
2012-06-09,10688.541666666666,13.3,6.4,0.0,0.4,786,1010.1,67,7.0,-2.53,0.11733333333333333,161853.0989010989,16756.89010989011,415.1666666666667,15.916666666666666,5,6,1,0
2012-06-10,9952.541666666666,14.9,2.8,0.0,9.0,2273,1009.3,68,6.0,-2.53,0.11733333333333333,161767.23076923078,16757.076923076922,415.1666666666667,15.916666666666666,6,6,1,0
2012-06-11,12282.083333333334,14.8,2.5,4.6,1.5,1166,1002.7,81,8.0,-2.53,0.11733333333333333,161681.36263736265,16757.263736263736,415.1666666666667,15.916666666666666,0,6,0,0
2012-06-12,12346.208333333334,13.6,3.5,0.0,1.5,1140,1006.2,81,8.0,-2.53,0.11733333333333333,161595.4945054945,16757.45054945055,415.1666666666667,15.916666666666666,1,6,0,0
2012-06-13,12156.541666666666,11.7,2.5,0.0,3.6,1581,1015.7,70,6.0,-2.53,0.11733333333333333,161509.62637362638,16757.637362637364,415.1666666666667,15.916666666666666,2,6,0,0
2012-06-14,12250.875,12.5,1.8,0.0,11.4,2453,1019.0,65,3.0,-2.53,0.11733333333333333,161423.75824175825,16757.824175824175,415.1666666666667,15.916666666666666,3,6,0,0
2012-06-15,12364.833333333334,14.9,4.1,8.7,0.9,782,1012.5,84,8.0,-2.53,0.11733333333333333,161337.8901098901,16758.01098901099,415.1666666666667,15.916666666666666,4,6,0,0
2012-06-16,10608.625,16.7,5.0,0.0,7.2,1980,1012.4,69,5.0,-2.53,0.11733333333333333,161252.02197802198,16758.197802197803,415.1666666666667,15.916666666666666,5,6,1,0
