date,temp_c,precip_mm,sunshine_h,global_rad,pressure_hpa,nao,gdp_mln_eur,population,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday,sin1_ann,cos1_ann,sin2_ann,cos2_ann
2012-05-18,0.4106924078477527,-0.16467231431933493,-0.5969306782934986,0.3355290051348704,-0.7716986844287755,-0.7891653604123227,-0.8386625205630052,-0.7090548988888277,-0.6955200436314088,-0.5565885555603911,4,5,0,0,0.6819721490904629,-0.7313781428679254,-0.9975590477788613,0.0698279757298709
2012-05-19,0.7296037541979998,-0.4789106033453993,0.6904668403308118,1.1528811036142363,-0.48971013540999847,-0.7891653604123227,-0.8438610561328488,-0.7083717549219842,-0.6955200436314088,-0.5565885555603911,5,5,1,0,0.6692903895412567,-0.7430009249440493,-0.9945667569706337,0.1041007489354256
2012-05-20,0.889059427373123,0.5685503600748153,-0.14395747729605593,0.5540791025644382,-0.8656948674350307,-0.7891653604123227,-0.8490595917026923,-0.7076886109551408,-0.6955200436314088,-0.5565885555603911,6,5,1,0,0.6564105761979381,-0.7544038410927472,-0.9903973200352558,0.1382503109109819
2012-05-21,1.3036441776284446,-0.4789106033453993,0.30901572370138647,1.222362348461787,-1.335675782466318,-0.7891653604123227,-0.8542581272725358,-0.7070054669883107,-0.6955200436314088,-0.5565885555603911,0,5,0,0,0.6433365204044917,-0.765583517007675,-0.9850556718215013,0.172236243027682
2012-05-22,1.686337793248741,-0.4789106033453993,1.7632981058510704,1.779475602603055,-0.6777025014225205,-0.7891653604123227,-0.8594566628423793,-0.7063223230214672,-0.6955200436314088,-0.5565885555603911,1,5,0,0,0.6300720909843687,-0.7765366444428656,-0.9785481345802031,0.2060183203251708
2012-05-23,1.5109365527561052,4.234663732045567,0.9527144830135417,1.5141835768214986,0.5651359183268931,-0.7891653604123227,-0.8646551984122228,-0.7056391790546238,-0.6955200436314088,-0.5565885555603911,2,5,0,0,0.6166212130956382,-0.7872599821916922,-0.9708824104813836,0.23955655912092708
2012-05-24,1.8457934664238644,-0.2694184106613564,1.9063422745871048,1.9904459278674353,1.0664488943602615,-0.7891653604123227,-0.8698537339820647,-0.7049560350877805,-0.6955200436314088,-0.5565885555603911,3,5,0,0,0.6029878670694713,-0.7977503570459932,-0.9620675724981452,0.27281126433401914
2012-05-25,1.590664389343667,-0.4789106033453993,2.3354747807952085,2.296163405196657,1.0664488943602615,-0.7891653604123227,-0.8750522695519082,-0.7042728911209504,-0.6955200436314088,-0.5565885555603911,4,5,0,0,0.5891760872322963,-0.8080046647350754,-0.9521140536681102,0.30574307646728316
2012-05-26,1.4949909854385928,-0.4789106033453993,2.3116340860058693,2.3037431773618446,0.7009081826692602,-0.7891653604123227,-0.8802508051217517,-0.7035897471541069,-0.6955200436314088,-0.5565885555603911,5,5,1,0,0.5751899607119775,-0.8180198708443174,-0.9410336347451197,0.3383130181923076
2012-05-27,1.54282768739113,-0.4789106033453993,2.263952696427191,2.2014162531318155,0.40847561331646404,-0.7891653604123227,-0.8854493406915952,-0.7029066031872635,-0.6955200436314088,-0.5565885555603911,6,5,1,1,0.5610336262283677,-0.8277930117131023,-0.9288394302558068,0.37048254048209633
2012-05-28,1.192025206405858,-0.4789106033453993,2.263952696427191,2.291110223753199,0.07426696262754388,-0.7891653604123227,-0.8906478762614388,-0.7022234592204201,-0.6955200436314088,-0.5565885555603911,0,5,0,1,0.5467112728685939,-0.8373211953118121,-0.9155458729775467,0.4022135682368037
2012-05-29,0.4425835424827773,-0.4789106033453993,-0.31084234082142953,0.23951855770916436,0.11604304396365593,-0.7891653604123227,-0.8958464118312823,-0.7015403152535901,-0.6955200436314088,-0.5565885555603911,1,5,0,0,0.5322271388474397,-0.8466016020976267,-0.9011686968561569,0.4334685453485363
2012-05-30,0.8571682927380985,-0.4789106033453993,1.3103249048536278,1.4901809649650721,0.293591389642147,-0.7891653604123227,-0.9010449474011258,-0.7008571712867466,-0.6955200436314088,-0.5565885555603911,2,5,0,0,0.5175855102531889,-0.8556314858488707,-0.8857249183835637,0.4642104791518923
2012-05-31,0.5701480810228763,1.8045542969106687,-1.1929480480269756,-0.5108788866443803,0.07426696262754388,-0.7891653604123227,-0.9062434829709693,-0.7001740273199032,-0.6955200436314088,-0.5565885555603911,3,5,0,0,0.5027907197793043,-0.8644081744776648,-0.8692328164574792,0.49440298420761813
2012-06-01,0.29907343662516606,-0.457961384076995,-0.26316095124275146,0.41006343142587903,0.33536747097825903,-2.156197296958959,-0.911442018540813,-0.6994908833530598,-0.6955200436314088,-0.5565885555603911,4,6,0,0,0.4878471454423119,-0.8729290708206411,-0.8517119107469189,0.5240103253675755
2012-06-02,0.15556333076755507,-0.4789106033453993,2.0255457485338004,1.9803395649805189,0.14737510496574888,-2.156197296958959,-0.9166405541106565,-0.6988077393862296,-0.6955200436314088,-0.5565885555603911,5,6,1,0,0.47275920928627757,-0.881191653407483,-0.8331829385891785,0.5529974600700271
2012-06-03,-0.2749669868052787,1.3227222537373697,-1.1929480480269756,-0.7723810263433429,-0.5628182777482035,-2.156197296958959,-0.9218390896805,-0.6981245954193862,-0.6955200436314088,-0.5565885555603911,6,6,1,0,0.4575313760742512,-0.8891934772070711,-0.8136678304455991,0.5813300798152042
2012-06-04,-0.2749669868052787,1.406519130810987,-0.8830190157655675,-0.4173950299404034,-0.31216178973151926,-2.156197296958959,-0.9270376252503435,-0.6974414514525429,-0.6955200436314088,-0.5565885555603911,0,6,0,0,0.442168151967072,-0.8969321743510065,-0.7931896839451844,0.6089746507720486
2012-06-05,0.02799879222745613,-0.4789106033453993,0.21365294454403028,0.8395838541198272,0.11604304396365593,-2.156197296958959,-0.9322361608201871,-0.6967583074856994,-0.6955200436314088,-0.5565885555603911,1,6,0,0,0.42667408318992467,-0.9044054548343001,-0.7717727365467837,0.6358984534680745
2012-06-06,0.4904202444353145,1.2179761573953483,0.11829016538667386,0.2218324226570606,-1.053687233447541,-2.156197296958959,-0.9374346963900306,-0.6960751635188693,-0.6955200436314088,-0.5565885555603911,2,6,0,0,0.4110537546870351,-0.9116111071930239,-0.7494423368521954,0.6620696215153815
2012-06-07,0.8571682927380985,-0.12277387578252634,-0.7876562366082112,0.44290911080835743,-1.367007843468399,-2.156197296958959,-0.9426332319598741,-0.6953920195520259,-0.6955200436314088,-0.5565885555603911,3,6,0,0,0.395311788764915,-0.9185469991587165,-0.7262249146041544,0.6874571793269664
2012-06-08,0.6977126195629749,-0.37416450700337783,1.2149621256962715,1.2324687113487032,-1.158127436787827,-2.156197296958959,-0.9478317675297177,-0.6947088755851825,-0.6955200436314088,-0.5565885555603911,4,6,0,0,0.37945284372454435,-0.925211078289358,-0.7021479494046978,0.7120310787787131
2012-06-09,0.3947468405302404,-0.4789106033453993,-1.0975852688696193,-0.34033401292766563,-0.5419302370801414,-2.156197296958959,-0.9530303030995595,-0.6940257316183391,-0.6955200436314088,-0.5565885555603911,5,6,1,0,0.36348161248290634,-0.9316013725767187,-0.6772399381909491,0.7357622347736527
2012-06-10,0.6498759176104381,-0.4789106033453993,0.9527144830135417,1.5381861886779251,-0.6254823997523774,-2.156197296958959,-0.958228838669403,-0.693342587651509,-0.6955200436314088,-0.5565885555603911,6,6,1,0,0.3474028211842774,-0.9377159910299093,-0.6515303615068021,0.75862255966641
2012-06-11,0.6339303502929258,0.4847534830011981,-0.8353376261868893,0.13971822420086463,-1.3147877417982559,-2.156197296958959,-0.9634273742392465,-0.6926594436846656,-0.6955200436314088,-0.5565885555603911,0,6,0,0,0.3312212278016865,-0.9435531242349544,-0.6250496486104377,0.7805849965070866
2012-06-12,0.4425835424827773,-0.4789106033453993,-0.8353376261868893,0.10687254481838625,-0.9492470301072548,-2.156197296958959,-0.96862590980909,-0.6919762997178222,-0.6955200436314088,-0.5565885555603911,1,6,0,0,0.31494162072895193,-0.9491110448902284,-0.5978291414589552,0.8016235510652421
2012-06-13,0.1396177634500425,-0.4789106033453993,-0.3346830356107687,0.6639857989596543,0.04293490162546282,-2.156197296958959,-0.9738244453789336,-0.6912931557509787,-0.6955200436314088,-0.5565885555603911,2,6,0,0,0.2985688173637202,-0.9543881083175908,-0.5699010576127624,0.8217133225960589
2012-06-14,0.2671823019901415,-0.4789106033453993,1.5248911579576796,1.7655793536335447,0.38758757264840205,-2.156197296958959,-0.9790229809487772,-0.6906100117841486,-0.6955200436314088,-0.5565885555603911,3,6,0,0,0.28210766268191934,-0.9593827529490743,-0.5412984521036173,0.8408305333122887
2012-06-15,0.6498759176104381,1.343671473005774,-0.9783817949229238,-0.34538719437112386,-0.2912737490634573,-2.156197296958959,-0.9842215165186207,-0.6899268678173053,-0.6955200436314088,-0.5565885555603911,4,6,0,0,0.26556302780405594,-0.9640935007889755,-0.5120551783114646,0.8589525565270845
2012-06-16,0.9368961293256602,-0.4789106033453993,0.5235819768054383,1.168040647944611,-0.3017177693974883,-2.156197296958959,-0.9894200520884642,-0.6892437238504618,-0.6955200436314088,-0.5565885555603911,5,6,1,0,0.24893980855376655,-0.9685189578512204,-0.4822058478963526,0.8760579434344281
2012-06-17,0.7614948888330244,-0.4789106033453993,0.02292738622931745,0.8547433984502019,0.33536747097825903,-2.156197296958959,-0.9946185876583078,-0.6885605798836184,-0.6955200436314088,-0.5565885555603911,6,6,1,0,0.23224292400907015,-0.9726578145718654,-0.451785789832884,0.8921264484954345
2012-06-18,0.5701480810228763,1.6579097620318384,-0.16779817208539516,0.4580686551387321,0.10559902362962496,-2.156197296958959,-0.9998171232281513,-0.6878774359167883,-0.6955200436314088,-0.5565885555603911,0,6,0,0,0.21547731504673012,-0.976508846196619,-0.4208310085956556,0.9071390534005044
2012-06-19,0.7136581868804875,-0.4789106033453993,0.7858296194881683,1.4788113067172912,0.47113973532062614,-2.156197296958959,-1.0050156587979948,-0.6871942919499449,-0.6955200436314088,-0.5565885555603911,1,6,0,0,0.1986479428801711,-0.9800709131432666,-0.3893781415452015,0.9210779895789526
2012-06-20,1.096351802500784,-0.4789106033453993,-0.02475400334936054,1.0998226984579251,0.05337892195948193,-2.156197296958959,-1.0102141943678384,-0.6865111479831015,-0.6955200436314088,-0.5565885555603911,2,6,0,0,0.18175978759137534,-0.9833429613388902,-0.35746441556486136,0.9339267592294762
2012-06-21,1.1122973698182963,3.0615074530149258,-0.40620511997878594,0.7082011365899137,-0.5628182777482035,-2.156197296958959,-1.0154127299376818,-0.6858280040162581,-0.6955200436314088,-0.5565885555603911,3,6,0,0,0.16481784665719793,-0.9863240225317866,-0.3251276029999093,0.9456701548465688
2012-06-22,0.7296037541979998,0.6523472371484326,0.6904668403308118,0.8787460103066284,-0.07194932204885422,-2.156197296958959,-1.0206112655075272,-0.685144860049428,-0.6955200436314088,-0.5565885555603911,4,6,0,0,0.14782713347053048,-0.9890132145779883,-0.29240597695107734,0.9562942772197719
2012-06-23,0.7774404561505367,-0.4789106033453993,0.23749363933336926,1.0341313396929683,0.5442478776588312,-2.156197296958959,-1.0258098010773689,-0.6844617160825845,-0.6955200436314088,-0.5565885555603911,5,6,1,0,0.1307926758567592,-0.9914097417023038,-0.25933826597540555,0.9657865518844574
2012-06-24,0.4585291098002896,1.9093003932526902,-0.5492492887148204,-0.33907071756680107,-0.3539378710676313,-2.156197296958959,-1.0310083366472107,-0.6837785721157411,-0.6955200436314088,-0.5565885555603911,6,6,1,0,0.11371951458594969,-0.9935128947338007,-0.22596360824801906,0.974135744004672
2012-06-25,0.554202513705364,-0.4789106033453993,0.5712633663841165,0.7006213644247263,0.10559902362962496,-2.156197296958959,-1.0362068722170543,-0.6830954281488978,-0.6955200436314088,-0.5565885555603911,0,6,0,0,0.0966127018812031,-0.9953220513156602,-0.19232150523909483,0.9813319716704275
