date,temp_c,wind_ms,precip_mm,sunshine_h,cloudiness,nao,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday,sin1_ann,cos1_ann,sin2_ann,cos2_ann
2010-09-09,0.8571682927380985,-0.6483947130370793,-0.4789106033453993,0.4043785028587429,-0.7496877241666017,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,3,9,0,0,-0.9296339319682695,-0.3684843993077793,0.6851112019949135,-0.7284384949335702
2010-09-10,0.7933860234680493,-0.14911562252182492,-0.20657075285614349,-1.1452666584482973,0.5926013377979414,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,4,9,0,0,-0.9358348973349941,-0.35243871088460327,0.6596488896351408,-0.7515739101399981
2010-09-11,1.2079707737233703,-0.006464453803181054,-0.4789106033453993,1.0003958725922197,-0.3022580368450873,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,5,9,1,0,-0.9417589340994617,-0.3362887301766828,0.6334058321617086,-0.7738197799123084
2010-09-12,0.7136581868804875,-0.7197202973964013,-0.311316849198165,-0.5015678991361423,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,6,9,1,0,-0.9474042892438845,-0.32003923622313857,0.6064130902482765,-0.7951497745554202
2010-09-13,0.6498759176104381,-0.07779003816250314,-0.457961384076995,0.07060877580799566,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,0,9,0,0,-0.9527692922168511,-0.3036950375106588,0.578702611877601,-0.8155386483827991
2010-09-14,0.7614948888330244,1.77667515517987,4.1089684164351405,-1.1929480480269756,1.0400310251194558,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,1,9,0,0,-0.9578523554276669,-0.28726097055059635,0.5503071945286526,-0.8349622695966589
2010-09-15,0.4904202444353145,1.2060704803052933,0.9037378683692839,0.7619889246988288,-0.3022580368450873,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,2,9,0,0,-0.9626519747161487,-0.2707418984477642,0.5212604463582784,-0.8533976488498011
2010-09-16,0.2671823019901415,-0.14911562252182492,0.8408902105640711,0.02292738622931745,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,3,9,0,0,-0.9671667297977312,-0.2541427094613622,0.4915967464233612,-0.8708229664552753
2010-09-17,0.0917810614975056,-0.3630923755997912,0.08671831690151663,-0.16779817208539516,0.5926013377979414,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,4,9,0,0,-0.97139528468375,-0.23746831555846842,0.46135120399057805,-0.8872175982116473
2010-09-18,0.1396177634500425,-0.6483947130370793,-0.4789106033453993,0.30901572370138647,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,5,9,1,0,-0.9753363880767837,-0.22072365096050223,0.4305596169818739,-0.9025621398133328
2010-09-19,0.3947468405302404,0.278837883634107,-0.4789106033453993,-1.1452666584482973,1.0400310251194558,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,6,9,1,0,-0.9789888737409319,-0.20391367068311472,0.3992584296048835,-0.9168384298170765
2010-09-20,0.7136581868804875,0.7067913897900395,-0.4789106033453993,-0.8353376261868893,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,0,9,0,0,-0.9823516608469237,-0.1870433490699166,0.3674846892184069,-0.9300295711374187
2010-09-21,0.5701480810228763,-1.2903249722709775,-0.4789106033453993,-0.31084234082142953,-0.3022580368450873,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,1,9,0,0,-0.9854237542919524,-0.17011767832049055,0.3352760024840169,-0.9421199510456922
2010-09-22,0.6817670522454626,-1.0050226348336895,-0.4789106033453993,1.1911214309069325,-2.091976786131145,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,2,9,0,0,-0.9882042449941422,-0.15314166701312007,0.3026704908556893,-0.9530952596488853
2010-09-23,0.8252771581030739,-1.0050226348336895,4.255612951313971,-0.38236442518944685,0.14517165047642705,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,3,9,0,0,-0.9906923101615609,-0.13612033862266704,0.2697067454601279,-0.962942506826501
2010-09-24,0.6498759176104381,-0.3630923755997912,-0.24846919139295207,-0.47772720434680316,0.5926013377979414,-0.6879037354829421,-0.9640746414615374,-0.5981526712825035,4,9,0,0,-0.9928872135356962,-0.11905873003404988,0.23642378142121298,-0.9716500376053585
